raceId,points,laps,time_in_mil,fastestLapTime,max_speed_mph,statusId,nationality,alt,q1,q2,q3,position_delta,pace,age,session_type_sprint,driverRef,constructorRef,circuitRef
1074,26.0,57,5853584.0,94570,206.018,1,13,7,91471,90932,90558,0,102694.0,24,False,leclerc,ferrari,bahrain
1074,18.0,57,5859182.0,95740,203.501,1,15,7,91567,90787,90687,1,102792.0,27,False,sainz,ferrari,bahrain
1074,15.0,57,5863259.0,96228,202.469,1,3,7,92285,91048,91238,2,102864.0,37,False,hamilton,mercedes,bahrain
1074,12.0,57,5864795.0,96302,202.313,1,3,7,92269,91252,92216,5,102891.0,24,False,russell,mercedes,bahrain
1074,10.0,57,5868338.0,96623,201.641,1,6,7,91955,91461,91808,2,102953.0,29,False,kevin_magnussen,haas,bahrain
1074,8.0,57,5869703.0,96599,201.691,1,8,7,91919,91717,91560,0,102977.0,32,False,bottas,alfa,bahrain
1074,6.0,57,5873007.0,97110,200.63,1,9,7,92041,91782,0,4,103035.0,25,False,ocon,alpine,bahrain
1074,4.0,57,5873970.0,97104,200.642,1,11,7,92750,0,0,8,103052.0,21,False,tsunoda,alphatauri,bahrain
1074,2.0,57,5875974.0,96733,201.412,1,15,7,92346,91621,92195,-1,103087.0,40,False,alonso,alpine,bahrain
1074,1.0,57,5876648.0,96685,201.512,1,5,7,92493,93543,0,5,103099.0,22,False,zhou,alfa,bahrain
1074,0.0,57,5886158.0,96956,200.948,1,10,7,92380,91998,0,1,103265.0,23,False,mick_schumacher,haas,bahrain
1074,0.0,57,5899457.0,97146,200.555,1,4,7,93032,0,0,7,103499.0,23,False,stroll,aston_martin,bahrain
1074,0.0,57,5907516.0,97355,200.125,1,16,7,92726,92664,0,1,103640.0,26,False,albon,williams,bahrain
1074,0.0,57,5908559.0,97261,200.318,1,2,7,92945,0,0,4,103658.0,32,False,ricciardo,mclaren,bahrain
1074,0.0,57,5909919.0,96988,200.882,1,3,7,92239,92008,0,-2,103682.0,22,False,norris,mclaren,bahrain
1074,0.0,57,5915379.0,98251,198.3,1,4,7,93634,0,0,4,103778.0,26,False,latifi,williams,bahrain
1074,0.0,57,5917413.0,98201,198.401,1,10,7,92777,0,0,0,103814.0,34,False,hulkenberg,aston_martin,bahrain
1074,0.0,56,0.0,96089,202.762,32,12,7,92311,91008,90921,-14,0.0,32,False,perez,red_bull,bahrain
1074,0.0,54,0.0,95440,204.14,32,7,7,91785,90757,90681,-17,0.0,24,False,max_verstappen,red_bull,bahrain
1074,0.0,44,0.0,97324,200.189,131,9,7,92096,91635,92338,-10,0.0,26,False,gasly,alphatauri,bahrain
1075,25.0,50,5059293.0,91772,242.191,1,7,15,88928,88945,88461,3,101185.0,24,False,max_verstappen,red_bull,jeddah
1075,19.0,50,5059842.0,91634,242.556,1,13,15,89039,88780,88225,0,101196.0,24,False,leclerc,ferrari,jeddah
